0.22,-0.005,,00:00
0.215,,,00:10
0.21,,,00:20
0.205,,,00:30
0.2,,,00:40
0.195,,,00:50
0.19,-0.001666667,,01:00
0.188333333,,,01:10
0.186666667,,,01:20
0.185,,,01:30
0.183333333,,,01:40
0.181666667,,,01:50
0.18,-0.003333333,,02:00
0.176666667,,,02:10
0.173333333,,,02:20
0.17,,,02:30
0.166666667,,,02:40
0.163333333,,,02:50
0.16,0.003333333,,03:00
0.163333333,,,03:10
0.166666667,,,03:20
0.17,,,03:30
0.173333333,,,03:40
0.176666667,,,03:50
0.18,0.001666667,,04:00
0.181666667,,,04:10
0.183333333,,,04:20
0.185,,,04:30
0.186666667,,,04:40
0.188333333,,,04:50
0.19,0.013333333,,05:00
0.203333333,,,05:10
0.216666667,,,05:20
0.23,,,05:30
0.243333333,,,05:40
0.256666667,,,05:50
0.27,0.006666667,,06:00
0.276666667,,,06:10
0.283333333,,,06:20
0.29,,,06:30
0.296666667,,,06:40
0.303333333,,,06:50
0.31,-0.016666667,,07:00
0.293333333,,,07:10
0.276666667,,,07:20
0.26,,,07:30
0.243333333,,,07:40
0.226666667,,,07:50
0.21,0.008333333,,08:00
0.218333333,,,08:10
0.226666667,,,08:20
0.235,,,08:30
0.243333333,,,08:40
0.251666667,,,08:50
0.26,-0.001666667,,09:00
0.258333333,,,09:10
0.256666667,,,09:20
0.255,,,09:30
0.253333333,,,09:40
0.251666667,,,09:50
0.25,0.005,,10:00
0.255,,,10:10
0.26,,,10:20
0.265,,,10:30
0.27,,,10:40
0.275,,,10:50
0.28,-0.005,,11:00
0.275,,,11:10
0.27,,,11:20
0.265,,,11:30
0.26,,,11:40
0.255,,,11:50
0.25,0.005,,12:00
0.255,,,12:10
0.26,,,12:20
0.265,,,12:30
0.27,,,12:40
0.275,,,12:50
0.28,0.005,,13:00
0.285,,,13:10
0.29,,,13:20
0.295,,,13:30
0.3,,,13:40
0.305,,,13:50
0.31,0,,14:00
0.31,,,14:10
0.31,,,14:20
0.31,,,14:30
0.31,,,14:40
0.31,,,14:50
0.31,-0.003333333,,15:00
0.306666667,,,15:10
0.303333333,,,15:20
0.3,,,15:30
0.296666667,,,15:40
0.293333333,,,15:50
0.29,0.06,,16:00
0.35,,,16:10
0.41,,,16:20
0.47,,,16:30
0.53,,,16:40
0.59,,,16:50
0.65,0.011666667,,17:00
0.661666667,,,17:10
0.673333333,,,17:20
0.685,,,17:30
0.696666667,,,17:40
0.708333333,,,17:50
0.72,-0.023333333,,18:00
0.696666667,,,18:10
0.673333333,,,18:20
0.65,,,18:30
0.626666667,,,18:40
0.603333333,,,18:50
0.58,0.068333333,,19:00
0.648333333,,,19:10
0.716666667,,,19:20
0.785,,,19:30
0.853333333,,,19:40
0.921666667,,,19:50
0.99,-0.076666667,,20:00
0.913333333,,,20:10
0.836666667,,,20:20
0.76,,,20:30
0.683333333,,,20:40
0.606666667,,,20:50
0.53,-0.023333333,,21:00
0.506666667,,,21:10
0.483333333,,,21:20
0.46,,,21:30
0.436666667,,,21:40
0.413333333,,,21:50
0.39,-0.018333333,,22:00
0.371666667,,,22:10
0.353333333,,,22:20
0.335,,,22:30
0.316666667,,,22:40
0.298333333,,,22:50
0.28,0.000434783,,23:00
0.280434783,,,23:10
0.280869565,,,23:20
0.281304348,,,23:30
0.28173913,,,23:40
0.282173913,,,23:50
